NUMBER CONVERSION REPORT
======================================================================

Index   Decimal        Last 2    Binary         Hex       
----------------------------------------------------------------------
1       7116776        76        1001100        4C        
2       1666340        40        101000         28        
3       8886983        83        1010011        53        
4       839365         65        1000001        41        
5       924280         80        1010000        50        
6       1026310        10        1010           A         
7       1615293        93        1011101        5D        
8       1063875        75        1001011        4B        
9       679035         35        100011         23        
10      5201970        70        1000110        46        
11      593979         79        1001111        4F        
12      801371         71        1000111        47        
13      3796878        78        1001110        4E        
14      7489201        1         1              1         
15      9740020        20        10100          14        
16      9128737        37        100101         25        
17      5473463        63        111111         3F        
18      8701957        57        111001         39        
19      8238050        50        110010         32        
20      8679038        38        100110         26        
21      385912         12        1100           C         
22      5867340        40        101000         28        
23      4894542        42        101010         2A        
24      8999451        51        110011         33        
25      4392535        35        100011         23        
26      2078131        31        11111          1F        
27      3070124        24        11000          18        
28      7451998        98        1100010        62        
29      5635510        10        1010           A         
30      1233932        32        100000         20        
31      6089867        67        1000011        43        
32      1792316        16        10000          10        
33      6298637        37        100101         25        
34      2408038        38        100110         26        
35      8510100        0         0              0         
36      991581         81        1010001        51        
37      6455739        39        100111         27        
38      7829175        75        1001011        4B        
39      6328931        31        11111          1F        
40      9982305        5         101            5         
41      2292022        22        10110          16        
42      1070496        96        1100000        60        
43      8518360        60        111100         3C        
44      6378470        70        1000110        46        
45      7756258        58        111010         3A        
46      7111767        67        1000011        43        
47      2685897        97        1100001        61        
48      617946         46        101110         2E        
49      246280         80        1010000        50        
50      6075442        42        101010         2A        
51      991323         23        10111          17        
52      6754202        2         10             2         
53      3103178        78        1001110        4E        
54      3228842        42        101010         2A        
55      6786623        23        10111          17        
56      5329085        85        1010101        55        
57      2334647        47        101111         2F        
58      7253396        96        1100000        60        
59      6516953        53        110101         35        
60      5972725        25        11001          19        
61      5828037        37        100101         25        
62      6642265        65        1000001        41        
63      2559699        99        1100011        63        
64      6597631        31        11111          1F        
65      5826202        2         10             2         
66      4642335        35        100011         23        
67      1862900        0         0              0         
68      6039635        35        100011         23        
