WORD FREQUENCY REPORT
============================================================

Word                          Frequency      
------------------------------------------------------------
1                             2748           
2                             791            
3                             179            
4                             27             
5                             5              
5000                          1              
acquired                      1              
adjust                        1              
advantage                     1              
affairs                       1              
afterwards                    1              
agenda                        1              
aim                           1              
albums                        1              
allowed                       1              
americans                     1              
amsterdam                     1              
andy                          1              
anthropology                  1              
antique                       1              
anybody                       1              
anytime                       1              
anywhere                      1              
appearing                     1              
applied                       1              
ar                            1              
argue                         1              
arise                         1              
arkansas                      1              
asin                          1              
assignments                   1              
assurance                     1              
astrology                     1              
attach                        1              
attendance                    1              
attraction                    1              
auckland                      1              
authors                       1              
availability                  1              
ave                           1              
bag                           1              
bags                          1              
bahamas                       1              
balance                       1              
baptist                       1              
barbados                      1              
barcelona                     1              
basically                     1              
baskets                       1              
becomes                       1              
began                         1              
beings                        1              
believes                      1              
belle                         1              
belly                         1              
bernard                       1              
biggest                       1              
biographies                   1              
birthday                      1              
bits                          1              
blanket                       1              
blend                         1              
bless                         1              
blind                         1              
blink                         1              
block                         1              
blood                         1              
blues                         1              
bluetooth                     1              
blvd                          1              
bob                           1              
boc                           1              
bonus                         1              
boobs                         1              
bookmark                      1              
bool                          1              
bottle                        1              
boulevard                     1              
bound                         1              
bouquet                       1              
boxing                        1              
brake                         1              
brave                         1              
breakfast                     1              
breathing                     1              
brian                         1              
briefs                        1              
bringing                      1              
broadcasting                  1              
brochures                     1              
broken                        1              
broker                        1              
bruce                         1              
bubble                        1              
bunch                         1              
bunny                         1              
burner                        1              
busty                         1              
buyer                         1              
bw                            1              
calgary                       1              
calibration                   1              
cam                           1              
cambodia                      1              
cambridge                     1              
camcorder                     1              
campus                        1              
cams                          1              
canal                         1              
cancellation                  1              
capitol                       1              
caps                          1              
carb                          1              
carlos                        1              
carnival                      1              
carter                        1              
cartoons                      1              
casa                          1              
catalog                       1              
catalyst                      1              
cave                          1              
cb                            1              
ce                            1              
cedar                         1              
ceremony                      1              
cet                           1              
challenging                   1              
chambers                      1              
changed                       1              
chaos                         1              
chapter                       1              
characterization              1              
charging                      1              
charlotte                     1              
charter                       1              
chen                          1              
chess                         1              
chester                       1              
choir                         1              
chose                         1              
christian                     1              
chrome                        1              
chronicle                     1              
church                        1              
cigarette                     1              
cigarettes                    1              
circle                        1              
circles                       1              
citizens                      1              
civilization                  1              
classification                1              
classroom                     1              
clause                        1              
clay                          1              
cleaning                      1              
clearance                     1              
clearing                      1              
climb                         1              
clinic                        1              
clips                         1              
close                         1              
closely                       1              
closest                       1              
closure                       1              
cloudy                        1              
clubs                         1              
cms                           1              
coalition                     1              
coat                          1              
coated                        1              
coating                       1              
cole                          1              
coleman                       1              
collectibles                  1              
collective                    1              
